farm,trap_count,year,date,tempf,dwpf,drct,feel,regression_count,poisson_count,NB_count,poisson_count_farm,NB_count_farm
Litchfield-W,16,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,3,3,3,8,8
Hollis-B,7,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,3,3,3,4,4
Mason-B,11,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,3,3,3,2,2
Litchfield-W,25,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,3,3,3,7,7
Hollis-B,31,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,3,3,3,5,5
Mason-B,7,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,3,3,3,2,2
Litchfield-W,3,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,2,2,2,8,8
Hollis-B,4,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,2,2,2,4,4
Mason-B,1,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,2,2,2,2,2
Litchfield-W,12,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,3,3,3,7,7
Hollis-B,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,3,3,3,4,5
Mason-B,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,3,3,3,2,2
Litchfield-W,4,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,3,3,3,7,6
Hollis-B,3,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,3,3,3,6,6
Mason-B,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,3,3,3,2,2
Litchfield-W,5,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,3,3,3,10,11
Hollis-B,24,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,3,3,3,3,3
Mason-B,1,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,3,3,3,2,2
Litchfield-W,13,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,8,7
Hollis-B,34,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,5,5
Mason-B,5,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,2,2
Litchfield-W,17,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,2,2,2,7,6
Hollis-B,60,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,2,2,2,6,5
Mason-B,1,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,2,2,2,1,1
Litchfield-W,1,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,2,3,5,4
Hollis-B,12,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,2,3,7,7
Mason-B,0,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,2,3,1,2
Litchfield-W,1,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,3,3,3,5,5
Hollis-B,2,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,3,3,3,5,5
Mason-B,1,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,3,3,3,2,2
Litchfield-W,1,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,3,3,5,5
Hollis-B,0,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,3,3,6,6
Mason-B,0,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,3,3,1,2
Litchfield-W,1,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,3,3,3,6,6
Hollis-B,1,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,3,3,3,4,4
Mason-B,0,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,3,3,3,2,2
Litchfield-W,0,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,3,3,3,6,6
Hollis-B,0,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,3,3,3,4,4
Mason-B,0,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,3,3,3,1,1
Litchfield-W,0,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,5,4
Hollis-B,0,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,6,6
