farm,trap_count,year,date,tempf,dwpf,drct,feel,regression_count,poisson_count,NB_count,poisson_count_farm,NB_count_farm
Pelham-G,0,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,1,1,1,0,0
Litchfield-W,0,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,1,1,1,10,4
Litchfield-M,0,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,1,1,1,1,1
Merrimack-T,0,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,1,1,1,0,0
Hollis-L,0,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,1,1,1,0,0
Hollis-B,0,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,1,1,1,0,0
Hollis-K,0,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,1,1,1,0,0
Milford-S,0,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,1,1,1,4,4
Antrim-T,0,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,1,1,1,0,0
Mason-B,0,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,1,1,1,2,2
Peterborough-R,0,2006,2006-06-19,70.97761316872422,63.913168724279934,63.7037037037037,71.30139917695469,1,1,1,0,0
Pelham-G,0,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,1,1,1,0,0
Litchfield-W,0,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,1,1,1,6,3
Litchfield-M,0,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,1,1,1,0,0
Merrimack-T,0,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,1,1,1,0,0
Hollis-L,0,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,1,1,1,1,1
Hollis-B,0,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,1,1,1,1,1
Hollis-K,0,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,1,1,1,0,0
Milford-S,0,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,1,1,1,3,3
Antrim-T,0,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,1,1,1,0,0
Mason-B,0,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,1,1,1,2,2
Peterborough-R,0,2006,2006-06-26,71.24346774193548,65.09588709677418,84.23387096774194,71.73334677419352,1,1,1,0,0
Pelham-G,0,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,3,3,3,1,1
Litchfield-W,0,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,3,3,3,21,21
Litchfield-M,0,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,3,3,3,3,3
Merrimack-T,0,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,3,3,3,0,0
Hollis-L,0,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,3,3,3,2,2
Hollis-B,0,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,3,3,3,2,2
Hollis-K,0,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,3,3,3,2,2
Milford-S,0,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,3,3,3,5,5
Antrim-T,0,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,3,3,3,0,0
Mason-B,0,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,3,3,3,1,2
Peterborough-R,0,2006,2006-07-03,71.05648484848489,59.20375757575755,127.51515151515152,71.26327272727275,3,3,3,0,0
Pelham-G,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,0,0
Litchfield-W,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,6,2
Litchfield-M,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,0,0
Merrimack-T,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,0,0
Hollis-L,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,0,0
Hollis-B,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,1,1
Hollis-K,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,0,0
Milford-S,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,3,3
Antrim-T,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,0,0
Mason-B,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,2,2
Peterborough-R,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,0,0
Plainfield-E,0,2006,2006-07-10,71.83090909090903,66.4917818181818,59.74545454545454,72.60825454545457,1,1,1,0,0
Pelham-G,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,0,0
Litchfield-W,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,6,3
Litchfield-M,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,0,0
Merrimack-T,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,0,0
Hollis-L,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,1,1
Milford-L,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,3,3
Hollis-B,1,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,1,1
Hollis-K,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,0,0
Milford-S,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,2,3
Antrim-T,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,1,1
Mason-B,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,2,2
Peterborough-R,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,0,0
Plainfield-E,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,0,0
NorthHaverhill-B,0,2006,2006-07-17,73.20017467248903,66.51580786026202,101.00436681222708,74.15078602620085,1,1,1,0,0
Pelham-G,0,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,0,0
Litchfield-W,3,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,18,9
Litchfield-M,2,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,2,2
Merrimack-T,0,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,0,0
Hollis-L,0,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,0,0
Milford-L,4,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,3,4
